answer_llm,answer_orig,document,question,course
"Yes, you will be able to obtain a certificate if you join the course after it has started. You need to submit 2 out of 3 course projects and review 3 peers’ projects by the deadline to be eligible for the certificate. Even if you join later in the course, as long as you meet these requirements, you can still receive a certificate.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,Will I be able to obtain a certificate if I join the course after it has started?,machine-learning-zoomcamp
"To be eligible for a certificate, you must submit at least 2 out of the 3 course projects and peer-review 3 course-mates’ projects for each submission.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,How many course projects must I submit to be eligible for a certificate?,machine-learning-zoomcamp
"To get a certificate, you need to finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,What is the requirement for peer reviews to get a certificate?,machine-learning-zoomcamp
"Yes, you can join the course after it has started, but you won’t be able to submit some of the homework assignments since it’s not possible to submit them after the due date. However, homework is not mandatory for finishing the course. To get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ projects by the deadline.","Yes, you can. You won’t be able to submit some of the homeworks, but you can still take part in the course.
In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. It means that if you join the course at the end of November and manage to work on two projects, you will still be eligible for a certificate.",ee58a693,Can I submit homework if I join the course after it has started?,machine-learning-zoomcamp
"Yes, the course is available in a self-paced mode, allowing you to go through the materials at any time.","The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,Is the course available in a self-paced mode?,machine-learning-zoomcamp
"Yes, you can start the course anytime it is available in a self-paced mode. You can go through the materials at your own pace. However, if you want to join as part of a cohort with other students, the next iteration starts in September 2024.","The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,Can I start the course anytime?,machine-learning-zoomcamp
The next cohort will be starting in September 2024.,"The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,When is the next cohort starting?,machine-learning-zoomcamp
"There are no set times for the course materials since the course is available in self-paced mode, allowing you to go through the materials at any time. The course videos are pre-recorded and can be watched immediately. Additionally, there are live office hours occasionally, which are also recorded for later viewing.","The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,Are there set times for the course materials?,machine-learning-zoomcamp
"Yes, there will be iterations in future Septembers. The next iterations of the course will happen in September 2023 and September 2024, with the possibility of other Septembers as well.","The course is available in the self-paced mode too, so you can go through the materials at any time. But if you want to do it as a cohort with other students, the next iterations will happen in September 2023, September 2024 (and potentially other Septembers as well).",636f55d5,Will there be iterations in future Septembers?,machine-learning-zoomcamp
"It depends on whether the submission form for the homework is still open. If the form is open, you can submit your homework late and it will be evaluated. However, if the form is closed, then it is too late to submit your homework. However, please note that homework is not mandatory for finishing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,Can I send in my homework late?,machine-learning-zoomcamp
"No, it is not feasible to submit homework post deadline. The form is closed after the due date. However, homework is not mandatory for finishing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,Is it feasible to submit homework post deadline?,machine-learning-zoomcamp
"If you miss the homework submission deadline, you won't be able to submit it afterward because the form is closed after the due date. However, homework is not mandatory for finishing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,What happens if I miss the homework submission deadline?,machine-learning-zoomcamp
"No, it's not possible to submit homework after the due date as the form is closed. However, homework is not mandatory for finishing the course.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,"After the due date, can homework still be submitted?",machine-learning-zoomcamp
"No, late homework submissions are not accepted as the form is closed after the due date. However, homework is not mandatory for finishing the course. If you try to submit and the form is still open, your homework can be evaluated, but if it is closed, it is too late.","No, it’s not possible. The form is closed after the due date. But don’t worry, homework is not mandatory for finishing the course.",c839b764,Are late homework submissions accepted?,machine-learning-zoomcamp
"The initial step after joining the course is to visit the course page (http://mlzoomcamp.com/), scroll down, and start going through the course materials. Then, read everything in the cohort folder for your cohort's year. You should also click on the links and start watching the videos, including watching office hours from previous cohorts on the DTC YouTube channel by searching for your course year playlist. Alternatively, you can use this direct link to the syllabus: http://mlzoomcamp.com/#syllabus.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,What is the initial step after joining the course?,machine-learning-zoomcamp
"To view the content of the course, go to the course page at [http://mlzoomcamp.com/](http://mlzoomcamp.com/), scroll down, and start going through the course materials. Additionally, read everything in the cohort folder for your cohort’s year. You can also click on the links to start watching the videos. Watch office hours from previous cohorts on the DTC YouTube channel by clicking on Playlists and searching for {course yyyy}. Alternatively, you can use this direct link: [http://mlzoomcamp.com/#syllabus](http://mlzoomcamp.com/#syllabus).","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,How can I view the content of the course?,machine-learning-zoomcamp
"You can find the materials related to your cohort by going to the course page at [http://mlzoomcamp.com/](http://mlzoomcamp.com/). Scroll down and start going through the course materials, and make sure to read everything in the cohort folder specific to your cohort’s year. Additionally, you can watch the videos on the DTC YouTube channel by searching for your course cohort year, starting from the 2021 ML Zoomcamp launch, or by visiting this link: [http://mlzoomcamp.com/#syllabus](http://mlzoomcamp.com/#syllabus).","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,Where can I find the materials related to my cohort?,machine-learning-zoomcamp
"You can access the videos from previous office hours by going to the DTC YouTube channel, clicking on Playlists, and searching for the specific course and year, such as ""{course yyyy}"". Alternatively, you can find these recordings in the course playlist on YouTube.","Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,How do I access the videos from previous office hours?,machine-learning-zoomcamp
ML Zoomcamp was first introduced in 2021.,"Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year.
Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC youtube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021.
Or you can just use this link: http://mlzoomcamp.com/#syllabus",0a278fb2,When was ML Zoomcamp first introduced?,machine-learning-zoomcamp
"For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page).","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where can I find the deadlines for the 2023 cohort?,machine-learning-zoomcamp
"For the 2023 cohort, deadline information is available on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where is the deadline information available for the 2023 cohort?,machine-learning-zoomcamp
"To check the deadlines for the 2023 course, you can see them on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,How do I check the deadlines for the 2023 course?,machine-learning-zoomcamp
"For the 2023 cohort deadlines, you can see the deadlines on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Can you show me where to see the 2023 cohort deadlines?,machine-learning-zoomcamp
"For the 2023 cohort, you can see the deadlines on the 2023 cohort page.","For the 2023 cohort, you can see the deadlines here (it’s taken from the 2023 cohort page)",8de4fefd,Where are the 2023 cohort deadlines listed?,machine-learning-zoomcamp
"There is not much difference between the 2022 and 2023 versions of the course. The main change is that there was a special module on BentoML in the 2022 version, while the rest of the modules are the same as before. Additionally, the homework assignments are different in 2023.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,What has changed between the 2022 and 2023 versions of the course?,machine-learning-zoomcamp
"Yes, there is a module missing in the 2023 course compared to the 2022 course. The special module BentoML, which was included in the 2022 iteration, is not part of the 2023 course. All other modules remain the same, but the homework assignments are different this year.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Is there any module missing in the 2023 course compared to 2022?,machine-learning-zoomcamp
"No, the homework assignments in the 2023 course are different from those in 2022.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Are the homework assignments in the 2023 course the same as in 2022?,machine-learning-zoomcamp
"Yes, BentoML was included in the 2022 course but not in the 2023 course.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Was BentoML included in the 2022 course but not in the 2023 course?,machine-learning-zoomcamp
"Yes, the majority of modules are unchanged from the 2022 course. Only one special module, BentoML, has been changed in the 2023 iteration.","There’s not much difference. There was one special module (BentoML) in the previous iteration of the course, but the rest of the modules are the same as in 2022. The homework this year is different.",94e86808,Are the majority of modules unchanged from the 2022 course?,machine-learning-zoomcamp
"We will not be releasing new course videos and will use the ones from 2021. The focus of the course and the skills we want to teach have remained the same, and the videos are still up-to-date.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Will you be releasing new course videos or using the ones from 2021?,machine-learning-zoomcamp
"No, the course videos are not being re-recorded for this iteration. The existing videos remain up-to-date and align with the course's focus and skills.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Are the course videos being re-recorded for this iteration?,machine-learning-zoomcamp
"There is no difference in the skills taught in this iteration compared to 2021. The course's focus and the skills it aims to teach have remained the same, and the videos from 2021 are still considered up-to-date.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Is there any difference in the skills taught in this iteration compared to 2021?,machine-learning-zoomcamp
"Yes, you should watch the videos even if you didn't take the course in 2021. The videos are still up-to-date, and if you haven't participated in the previous iteration, watching them will be useful and help you learn new things. Just remember to use Python 3.10 now instead of Python 3.8.","We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Should I watch the videos if I didn't take the course in 2021?,machine-learning-zoomcamp
The recommended Python version for this course iteration is Python 3.10.,"We won’t re-record the course videos. The focus of the course and the skills we want to teach remained the same, and the videos are still up-to-date.
If you haven’t taken part in the previous iteration, you can start watching the videos. It’ll be useful for you and you will learn new things. However, we recommend using Python 3.10 now instead of Python 3.8.",e7ba6b8a,Which Python version is recommended for this course iteration?,machine-learning-zoomcamp
"When posting about your course learning on social media, you should use the tag #mlzoomcamp.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,What tag should I use when posting about my course learning on social media?,machine-learning-zoomcamp
"When submitting your homework, there is a section in the submission form designated for including your learning in public links. You should post about what you learned from the course on your social media pages using the tag #mlzoomcamp and then include the links to these posts in the form. You can separate multiple links by any whitespace character, such as a linebreak, space, or tab. The number of points you can earn from these links is capped at 7 points, regardless of the number of links you submit beyond seven. For midterms or capstone projects, the points are doubled, allowing for up to 14 points from 14 URLs.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,How should I submit my learning in public links when turning in homework?,machine-learning-zoomcamp
"No, it is not possible to earn more than 7 points for posting learning links in weekly homework. If you submit more than 7 links in your homework form, you will still only receive a maximum of 7 points.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,Is it possible to earn more than 7 points for posting learning links in weekly homework?,machine-learning-zoomcamp
"Yes, you can post the same content on up to 7 different social sites and still earn points for your homework. Each different URL you submit can earn you points, up to a maximum of 7 points for each set of 7 URLs you provide.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,Can I post the same content on multiple social sites to earn points for my homework?,machine-learning-zoomcamp
"For posting public learning links during midterms and capstones, you can earn a maximum of 14 points. This is because the points are doubled for these periods, and the limit is 14 URLs for 14 points.","When you post about what you learned from the course on your social media pages, use the tag #mlzoomcamp. When you submit your homework, there’s a section in the form for putting the links there. Separate multiple links by any whitespace character (linebreak, space, tab, etc).
For posting the learning in public links, you get extra scores. But the number of scores is limited to 7 points: if you put more than 7 links in your homework form, you’ll get only 7 points.
The same content can be posted to 7 different social sites and still earn you 7 points if you add 7 URLs per week, see Alexey’s reply. (~ ellacharmed)
For midterms/capstones, the awarded points are doubled as the duration is longer. So for projects the points are capped at 14 for 14 URLs.",f7bc2f65,How many points can I earn for posting public learning links during midterms and capstones?,machine-learning-zoomcamp
"The FAQ database does not explicitly state whether you can share your course projects on a public platform. However, based on the information provided, you can create your own GitHub repository for the course with your notes, homework, and projects. You can then fork the original course repo and add a link to your notes under the 'Community Notes' section, suggesting that sharing your work publicly in this manner is acceptable.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Can I share my course projects on a public platform?,machine-learning-zoomcamp
"To add your notes to the Community Notes section, you need to create your own GitHub repository for the course, where you can include your notes, homework, projects, etc. Then, fork the original course repository and add a link to the notes in your own repository under the 'Community Notes' section. After that, create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,How do I add my notes to the Community Notes section?,machine-learning-zoomcamp
"To sync your changes with the original course repository, you should create your own GitHub repository for your notes, homework, projects, etc., and then fork the original course repo. After adding your changes, create a pull request to sync your fork with the original course repo.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,What is the process to sync my changes with the original course repo?,machine-learning-zoomcamp
"You should host your course-related notes and projects by creating your own GitHub repository. You can include your notes, homework, projects, etc., in this repository. After that, fork the original course repository and add a link under the 'Community Notes' section to your notes in your repository. Finally, create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Where should I host my course-related notes and projects?,machine-learning-zoomcamp
"Yes, there is a specific location to add a link to your own repository in the course repository. You should fork the original course repository and add a link under the 'Community Notes' section to the notes that are in your own repository. After doing so, create a pull request to sync your fork with the original course repository.","You can create your own github repository for the course with your notes, homework, projects, etc.
Then fork the original course repo and add a link under the 'Community Notes' section to the notes that are in your own repo.
After that's done, create a pull request to sync your fork with the original course repo.
(By Wesley Barreto)",ae52a907,Is there a specific location to add a link to my own repo in the course repository?,machine-learning-zoomcamp
"You can find the leaderboard links for 2023 and 2022 at the following URLs:

- 2023: [https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml](https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml)

- 2022: [https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml](https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml)","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Where can I find the leaderboard links for 2023 and 2022?,machine-learning-zoomcamp
"To compute the hash for your email using Python, use the following code:

```python
from hashlib import sha1

def compute_hash(email):
    return sha1(email.lower().encode('utf-8')).hexdigest()

# Call the function with your email
print(compute_hash('YOUR_EMAIL_HERE'))
```

Replace `'YOUR_EMAIL_HERE'` with your actual email address, ensuring it is in quotes to denote it as a string. Running this code in your Python environment will give you the SHA-1 hash of your email.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,How do I compute the hash for my email using Python?,machine-learning-zoomcamp
"No, you do not need to format your email in any special way before computing the hash, except to ensure that it is in lowercase. The Python code provided for computing the hash automatically converts the email to lowercase before encoding it in UTF-8 format and computing the SHA-1 hash. Just use your email in the format of a string with quotes, as shown in the example: `compute_hash('YOUR_EMAIL_HERE')`.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Do I need to format my email in any special way before computing the hash?,machine-learning-zoomcamp
"Yes, you can use an online tool to compute your email's hash. The website suggested is [http://www.sha1-online.com](http://www.sha1-online.com), where you can enter your email to get the hashed value.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,Is there an online tool I can use to compute my email's hash?,machine-learning-zoomcamp
"To check your scores on the leaderboard using your hashed email, follow these steps:

1. **Compute the Hash of Your Email:**
   - You can use the following Python code to compute the hash of your email:
     ```python
     from hashlib import sha1

     def compute_hash(email):
         return sha1(email.lower().encode('utf-8')).hexdigest()

     # Replace 'YOUR_EMAIL_HERE' with your actual email address
     print(compute_hash('YOUR_EMAIL_HERE'))
     ```
   - Alternatively, use the website http://www.sha1-online.com to hash your email by entering your email in the provided field.

2. **Find Your Scores on the Leaderboard:**
   - Copy your hashed email result (calculated SHA-1 hash) from the above process.
   - Visit the relevant leaderboard link for your course year (e.g., 2023 or 2022).
     - 2023 Leaderboard: [here](https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml)
     - 2022 Leaderboard: [here](https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml)
   - Enter your hashed email in the “search” bar of the spreadsheet to locate your scores.","Leaderboard Links:
2023 - https://docs.google.com/spreadsheets/d/e/2PACX-1vSNK_yGtELX1RJK1SSRl4xiUbD0XZMYS6uwHnybc7Mql-WMnMgO7hHSu59w-1cE7FeFZjkopbh684UE/pubhtml
2022 - https://docs.google.com/spreadsheets/d/e/2PACX-1vQzLGpva63gb2rIilFnpZMRSb-buyr5oGh8jmDtIb8DANo4n6hDalra_WRCl4EZwO1JvaC4UIS62n5h/pubhtml
Python Code:
from hashlib import sha1
def compute_hash(email):
return sha1(email.lower().encode('utf-8')).hexdigest()
You need to call the function as follows:
print(compute_hash('YOUR_EMAIL_HERE'))
The quotes are required to denote that your email is a string.
(By Wesley Barreto)
You can also use this website directly by entering your email: http://www.sha1-online.com. Then, you just have to copy and paste your hashed email in the “research” bar of the leaderboard to get your scores.
(Mélanie Fouesnard)",dab5a24a,How do I use the hashed email to check my scores on the leaderboard?,machine-learning-zoomcamp
